"vars","estimate","lowerCI","upperCI","cat_id","incentive","type"
"Confers benefits to others",78.3804123385253,72.6679522979867,83.1753797547879,"Non-specialist interactions","Incentives","text"
"Imposes costs on others",12.4912807444554,8.8594905404892,17.3287913774744,"Non-specialist interactions","Disincentives","text"
"Assists with uncommon/serious problem",55.3678498473321,48.2091641019465,62.3106166413389,"Non-specialist interactions","Incentives","text"
"Assists with a common problem",8.74063712057252,5.91824549499611,12.7269388306748,"Non-specialist interactions","Incentives","text"
"Evidence of success",25.0005230448026,20.4137989123355,30.2264179043259,"Non-specialist interactions","Incentives","text"
"Evidence of failure",14.7287956084479,10.8273413567611,19.7251044630051,"Non-specialist interactions","Disincentives","text"
"Rationalizes failure",7.32631731145327,4.55975440964818,11.5679969296921,"Non-specialist interactions","Incentives","text"
"Reputation for efficacy",31.9394937936337,26.6325318895707,37.7596960025034,"Non-specialist interactions","Incentives","text"
"Patronage based on efficacy",20.0551851237945,14.4780180855681,27.0999830528831,"Non-specialist interactions","Incentives","text"
"Payment to expert",23.9965539571915,18.2585770354025,30.8570478558084,"Non-specialist interactions","Disincentives","text"
"Trustworthy",4.23953031676258,2.46105908595751,7.20822651785439,"Non-specialist interactions","Incentives","text"
"Not trustworthy",6.46173838339581,4.21709535546574,9.77916099367746,"Non-specialist interactions","Disincentives","text"
"Others avoid the expert",1.36993981319617,0.520512600946686,3.55600103849627,"Non-specialist interactions","Disincentives","text"
"Expert does not receive payment",0.293255132713277,0.0412971148984036,2.05089552605789,"Non-specialist interactions","Incentives","text"
"Reputation for inefficacy",2.37847973989394,1.14993264602412,4.85509659730497,"Non-specialist interactions","Disincentives","text"
"Patronage based on social/economic reasons",7.71516137323876,4.76285600700052,12.2618673278034,"Non-specialist interactions","Incentives","text"
"Expert prescribes behavior/ritual",12.8671998683084,9.048131197958,17.9795778365156,"Non-specialist interactions","Incentives","text"
"Expert teaches others",19.409535727868,14.4674952262892,25.5357510301832,"Non-specialist interactions","Incentives","text"
"Lives far away",15.8132882669458,12.2121189695816,20.2316547575599,"Non-specialist interactions","Disincentives","text"
"Confers benefits to others",95.7446808510638,87.3463220502514,100,"Non-specialist interactions","Incentives","culture"
"Imposes costs on others",48.936170212766,43.5494046041833,54.3229358213486,"Non-specialist interactions","Disincentives","culture"
"Assists with uncommon/serious problem",85.1063829787234,75.8597942956396,94.3529716618072,"Non-specialist interactions","Incentives","culture"
"Assists with a common problem",42.5531914893617,38.3881811470109,46.7182018317125,"Non-specialist interactions","Incentives","culture"
"Evidence of success",70.2127659574468,63.5860799937295,76.8394519211641,"Non-specialist interactions","Incentives","culture"
"Evidence of failure",46.8085106382979,41.0643765788289,52.5526446977668,"Non-specialist interactions","Disincentives","culture"
"Rationalizes failure",34.0425531914894,29.5076165959843,38.5774897869944,"Non-specialist interactions","Incentives","culture"
"Reputation for efficacy",76.5957446808511,68.274751810245,84.9167375514572,"Non-specialist interactions","Incentives","culture"
"Patronage based on efficacy",59.5744680851064,49.6417869767141,69.5071491934986,"Non-specialist interactions","Incentives","culture"
"Payment to expert",63.8297872340426,55.5902860903529,72.0692883777322,"Non-specialist interactions","Disincentives","culture"
"Trustworthy",23.4042553191489,20.4721626572354,26.3363479810625,"Non-specialist interactions","Incentives","culture"
"Not trustworthy",31.9148936170213,28.437512415287,35.3922748187556,"Non-specialist interactions","Disincentives","culture"
"Others avoid the expert",8.51063829787234,6.79897834356077,10.2222982521839,"Non-specialist interactions","Disincentives","culture"
"Expert does not receive payment",2.12765957446809,1.4606293494083,2.79468979952787,"Non-specialist interactions","Incentives","culture"
"Reputation for inefficacy",14.8936170212766,12.6417129629577,17.1455210795955,"Non-specialist interactions","Disincentives","culture"
"Patronage based on social/economic reasons",31.9148936170213,26.3170841413021,37.5127030927405,"Non-specialist interactions","Incentives","culture"
"Expert prescribes behavior/ritual",42.5531914893617,36.6025267556931,48.5038562230303,"Non-specialist interactions","Incentives","culture"
"Expert teaches others",57.4468085106383,50.7597623030565,64.1338547182201,"Non-specialist interactions","Incentives","culture"
"Lives far away",53.1914893617021,47.9713918281734,58.4115868952308,"Non-specialist interactions","Disincentives","culture"
